"poule","game","date","team1","score1","score2","team2","venue","wk","host"
"Semi-finals",31,"1970-06-20","Uruguay",0,1,"West_Germany","Estadio Azteca, Mexico City",1970,"Mexico"
"Final",32,"1970-06-21","Brazil",4,1,"Italy","Estadio Azteca, Mexico City",1970,"Mexico"
"1",1,"1974-06-14","West_Germany",1,0,"Chile","Olympiastadion, West Berlin",1974,"West_Germany"
"1",2,"1974-06-14","East_Germany",2,0,"Australia","Volksparkstadion, Hamburg",1974,"West_Germany"
"1",9,"1974-06-18","Chile",1,1,"East_Germany","Olympiastadion, West Berlin",1974,"West_Germany"
"1",10,"1974-06-18","Australia",0,3,"West_Germany","Volksparkstadion, Hamburg",1974,"West_Germany"
"1",17,"1974-06-22","Australia",0,0,"Chile","Olympiastadion, West Berlin",1974,"West_Germany"
"1",18,"1974-06-22","East_Germany",1,0,"West_Germany","Volksparkstadion, Hamburg",1974,"West_Germany"
"2",3,"1974-06-13","Brazil",0,0,"Yugoslavia","Waldstadion, Frankfurt",1974,"West_Germany"
"2",4,"1974-06-14","Zaire",0,2,"Scotland","Westfalenstadion, Dortmund",1974,"West_Germany"
"2",11,"1974-06-18","Yugoslavia",9,0,"Zaire","Parkstadion, Gelsenkirchen",1974,"West_Germany"
"2",12,"1974-06-18","Scotland",0,0,"Brazil","Waldstadion, Frankfurt",1974,"West_Germany"
"2",19,"1974-06-22","Scotland",1,1,"Yugoslavia","Waldstadion, Frankfurt",1974,"West_Germany"
"2",20,"1974-06-22","Zaire",0,3,"Brazil","Parkstadion, Gelsenkirchen",1974,"West_Germany"
"3",5,"1974-06-15","Uruguay",0,2,"Netherlands","Niedersachsenstadion, Hanover",1974,"West_Germany"
"3",6,"1974-06-15","Sweden",0,0,"Bulgaria","Rheinstadion, Düsseldorf",1974,"West_Germany"
"3",13,"1974-06-19","Netherlands",0,0,"Sweden","Westfalenstadion, Dortmund",1974,"West_Germany"
"3",14,"1974-06-19","Uruguay",1,1,"Bulgaria","Niedersachsenstadion, Hanover",1974,"West_Germany"
"3",21,"1974-06-23","Netherlands",4,1,"Bulgaria","Westfalenstadion, Dortmund",1974,"West_Germany"
"3",22,"1974-06-23","Sweden",3,0,"Uruguay","Rheinstadion, Düsseldorf",1974,"West_Germany"
"4",7,"1974-06-15","Italy",3,1,"Haiti","Olympiastadion, Munich",1974,"West_Germany"
